OID_,Dam_Num,Area_m2,Shape_Area
127,5116,220.990538386999987,220.990538386882918
128,5117,397.276390364999997,397.276390364550934
129,5118,381.968592307999984,381.968592308308985
130,5119,136.539929997000002,136.539929997208048
131,5120,234.393786812000002,234.393786811665649
132,5121,234.049198824999991,234.049198824948178
133,5122,123.842872356000001,123.842872356407966
134,5123,423.320972879999999,423.320972879852548
135,5124,339.552052661000005,339.552052661142966
136,5126,258.285132852000004,258.285132851977210
137,5127,109.647439683000002,109.647439682814138
138,5128,193.718372904999995,193.718372905040582
139,5129,465.663876027000015,465.663876027073684
140,5130,286.005764128999999,286.005764128819237
141,5103,80.142228254599999,80.142228254571563
142,5125,132255.505170999997063,132255.505170632823138
143,5131,2999.091879009999957,2999.091879009808508
144,5133,25064.055356000000756,25064.055355959040753
145,5134,6941.253798239999924,6941.253798242290031
146,5135,1170.208871950000002,1170.208871950731009
147,5136,1721.902108620000035,1721.902108624115044
148,5137,1080.033545380000078,1080.033545375752738
149,5138,4903.666104830000222,4903.666104832765996
150,5139,825.843473258000017,825.843473257571532
151,5140,1125.018279849999999,1125.018279846600535
152,5141,2602.575260550000166,2602.575260552751388
153,5142,4847.123027020000336,4847.123027024171279
154,5143,1827.026636439999947,1827.026636435523187
155,5144,2718.413853810000091,2718.413853807209307
156,5145,2251.112293870000030,2251.112293873184626
157,5146,37196.023540399997728,37196.023540439484350
158,5147,23779.735415700000885,23779.735415749815729
159,5148,8321.398011290000795,8321.398011287834379
160,5132,5271.620193310000104,5271.620193308830494
161,5150,188.487234865000005,188.487234864522151
162,5151,177.856614828000005,177.856614828096298
163,5152,1745.941958879999902,1745.941958884090582
164,5153,2714.078867019999961,2714.078867024168630
165,5154,2122.982915980000143,2122.982915982669965
166,5155,356.622737948999998,356.622737949084353
167,5156,208.439237604999988,208.439237605069451
168,5157,479.455367007999996,479.455367007590723
169,5161,8800.792103839999982,8800.792103840833079
170,5162,296.094449813999972,296.094449813911979
171,5163,491.066121904999989,491.066121905191949
172,5164,660.900210969999989,660.900210969855834
173,5176,1800.558303179999939,1800.558303184739543
174,5177,1605.532456370000091,1605.532456370909586
175,5178,794.158928529000036,794.158928528591105
176,5179,505.886306506999972,505.886306506991900
177,5183,477.202797061000012,477.202797060908267
178,5184,537.193488140999989,537.193488140634827
179,5185,1152.380253399999901,1152.380253398962623
180,5186,397.584031321999987,397.584031322255271
181,5189,167.494734771999987,167.494734772237678
182,5169,733.287867976000030,733.287867975889299
183,5173,4443.903787279999960,4443.903787283184101
184,5190,1810.401491079999914,1810.401491075543618
185,5191,713.559411339999997,713.559411339713051
186,5192,687.814864176000015,687.814864176174865
187,5193,1222.358015060000071,1222.358015064050278
188,5194,1490.607946760000004,1490.607946755108969
189,5195,1302.553155609999976,1302.553155614848265
190,5196,2181.182256839999809,2181.182256836910710
191,5197,5490.001451109999834,5490.001451112359973
192,5198,3019.804396380000071,3019.804396384660777
193,5199,1348.695577279999952,1348.695577277198254
194,5200,4797.843686060000437,4797.843686061736662
