OID_,uRCA,uRCA_Area_km2,Fire_Event_ID,Fire_Event_Area_in_uRCA_km2,Fire_Event_Area_Percent_of_uRCA,Fire_Event_Ignition_Date,BS1_AreaKm2,BS2_AreaKm2,BS3_AreaKm2,BS4_AreaKm2,BS_sum_AreaKm2,DNBR_MEAN,RDNBR_MEAN
721,4112,0.168169348643484,0.000000000000000,0.001419218381539,0.843922166360446,20110530.000000000000000,0.002700000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.002700000000000,249.500000000000000,338.000000000000000
722,4116,0.074433593615462,0.000000000000000,0.017193498036095,23.099122978879770,20040613.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,,
723,4117,0.679630959784123,0.000000000000000,0.117084171857485,17.227609930813088,20110530.000000000000000,0.020700000000000,0.064800000000000,0.015300000000000,0.000000000000000,0.100800000000000,131.274509803921575,199.401960784313701
724,4119,0.262320461631863,0.000000000000000,0.003379331579201,1.288245562239993,20080617.000000000000000,0.006300000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.006300000000000,51.000000000000000,94.333333333333314
725,4121,0.194853762798832,0.000000000000000,0.000641471729808,0.329206759526356,20110530.000000000000000,0.001800000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.001800000000000,-4.000000000000000,7.666666666666668
726,4131,1.264788639602550,0.000000000000000,0.110638371476531,8.747578384314707,20040613.000000000000000,0.046800000000000,0.044100000000000,0.019800000000000,0.000900000000000,0.111600000000000,169.796460176991161,426.017699115044252
727,4132,0.405856062166096,0.000000000000000,0.174566711031298,43.011961056166776,20040613.000000000000000,0.041400000000000,0.034200000000000,0.032400000000000,0.009900000000000,0.117900000000000,174.349206349206383,405.253968253968253
728,4134,0.175295199317238,0.000000000000000,0.109155166863572,62.269335083763025,20040613.000000000000000,0.039600000000000,0.027900000000000,0.012600000000000,0.005400000000000,0.085500000000000,282.081818181818221,536.927272727272680
729,4141,0.129954178103708,0.000000000000000,0.110400395585963,84.953337635111012,20110530.000000000000000,0.021600000000000,0.046800000000000,0.008100000000000,0.000000000000000,0.076500000000000,250.243243243243256,360.986486486486513
730,4142,0.139186739629294,0.000000000000000,0.087544311515518,62.897011629354154,20110530.000000000000000,0.009900000000000,0.031500000000000,0.013500000000000,0.001800000000000,0.056700000000000,312.157894736842138,460.280701754385973
731,4146,0.199806202343872,0.000000000000000,0.052597762346947,26.324386888772334,20040613.000000000000000,0.002700000000000,0.017100000000000,0.009000000000000,0.000000000000000,0.028800000000000,295.466666666666640,562.500000000000000
732,4148,0.356517301438447,0.000000000000000,0.000122737678426,0.034426845294211,20020523.000000000000000,0.000900000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000900000000000,,
733,4149,0.144241074048078,0.000000000000000,0.144098866574052,99.901415028699049,20110530.000000000000000,0.002700000000000,0.020700000000000,0.047700000000000,0.005400000000000,0.076500000000000,467.750000000000000,689.399999999999977
734,4150,0.886964859856340,0.000000000000000,0.087563365577333,9.872247283654245,20110530.000000000000000,0.011700000000000,0.014400000000000,0.004500000000000,0.000000000000000,0.030600000000000,52.250000000000000,97.571428571428584
735,4155,0.048920573175245,0.000000000000000,0.003143272364127,6.425255342497345,20110530.000000000000000,0.000900000000000,0.004500000000000,0.000000000000000,0.000000000000000,0.005400000000000,162.833333333333343,260.000000000000000
736,4156,0.944778581374362,0.000000000000000,0.051982845747448,5.502120299648952,20110530.000000000000000,0.002700000000000,0.017100000000000,0.009000000000000,0.000900000000000,0.029700000000000,348.137931034482733,494.551724137931046
737,4158,0.259748612299826,0.000000000000000,0.003593145235130,1.383316278433975,20020523.000000000000000,0.005400000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.005400000000000,3.000000000000000,20.666666666666668
738,4163,0.290286009163976,0.000000000000000,0.178742154102704,61.574502692287723,20110530.000000000000000,0.029700000000000,0.046800000000000,0.020700000000000,0.000900000000000,0.098100000000000,395.355769230769170,539.471153846153697
739,4164,0.706864922986704,0.000000000000000,0.255028755956066,36.078853058301114,20110530.000000000000000,0.097200000000000,0.144900000000000,0.015300000000000,0.000000000000000,0.257400000000000,76.961403508771923,128.880701754385939
740,4169,1.081807324714459,0.000000000000000,0.395577754811854,36.566380318939757,20020523.000000000000000,0.100800000000000,0.134100000000000,0.108000000000000,0.086400000000000,0.429300000000000,371.100686498855964,546.588100686498819
741,4170,0.172497108329280,0.000000000000000,0.105403047899144,61.104233615114261,20020523.000000000000000,0.031500000000000,0.057600000000000,0.017100000000000,0.002700000000000,0.108900000000000,142.666666666666629,212.207207207207176
742,4173,0.138289964115104,0.000000000000000,0.097535029648748,70.529359576023509,20110530.000000000000000,0.012600000000000,0.054000000000000,0.009000000000000,0.000900000000000,0.076500000000000,268.739726027397239,386.808219178082197
743,4174,0.680554188895890,0.000000000000000,0.024669127633804,3.624858476734612,20110530.000000000000000,0.009900000000000,0.011700000000000,0.006300000000000,0.000900000000000,0.028800000000000,367.909090909090878,531.121212121212125
744,4186,0.313846284262267,0.000000000000000,0.117933197379991,37.576687783149829,20020523.000000000000000,0.033300000000000,0.043200000000000,0.047700000000000,0.004500000000000,0.128700000000000,275.285714285714278,416.309523809523796
745,4190,0.400593387208870,0.000000000000000,0.163790373785223,40.886934917170613,20080617.000000000000000,0.126900000000000,0.037800000000000,0.015300000000000,0.000000000000000,0.180000000000000,161.305084745762713,277.677966101694892
746,4193,0.210695408398546,0.000000000000000,0.144440313827842,68.554085238427760,20040613.000000000000000,0.052200000000000,0.059400000000000,0.016200000000000,0.000900000000000,0.128700000000000,176.657534246575381,374.376712328767098
747,4195,0.003294378673409,0.000000000000000,0.003294378734216,100.000005663582655,20040613.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,193.000000000000000,433.000000000000000
748,4196,0.106677993181754,0.000000000000000,0.106678005491484,100.000003031014131,20040613.000000000000000,0.003600000000000,0.012600000000000,0.001800000000000,0.000000000000000,0.018000000000000,274.000000000000000,508.050000000000011
749,4197,0.190723165162143,0.000000000000000,0.168530432225570,88.363897215624164,20110530.000000000000000,0.016200000000000,0.052200000000000,0.030600000000000,0.002700000000000,0.101700000000000,294.318181818181813,445.563636363636419
750,4198,0.381860332029495,0.000000000000000,0.085804247373751,22.470062912656445,20110530.000000000000000,0.035100000000000,0.048600000000000,0.015300000000000,0.000000000000000,0.099000000000000,154.453608247422693,240.515463917525750
751,4199,0.024491093963353,0.000000000000000,0.000437680601594,1.787100532205076,20020523.000000000000000,0.001800000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.001800000000000,,
752,4200,0.152507499057592,0.000000000000000,0.151335445418904,99.231472933678575,20020523.000000000000000,0.012600000000000,0.069300000000000,0.047700000000000,0.026100000000000,0.155700000000000,356.575581395348820,506.953488372092977
753,4209,1.258897221756116,0.000000000000000,1.133871527812850,90.068754108346809,20020523.000000000000000,0.132300000000000,0.288900000000000,0.409500000000000,0.287100000000000,1.117800000000000,471.259615384615415,667.568910256410391
754,4210,0.330831267426734,0.000000000000000,0.270670764605293,81.815357332613303,20020523.000000000000000,0.154800000000000,0.078300000000000,0.024300000000000,0.006300000000000,0.263700000000000,129.807017543859644,197.726315789473688
755,4241,0.512203175972446,0.000000000000000,0.512203255541609,100.000000991100961,20040613.000000000000000,0.064800000000000,0.228600000000000,0.176400000000000,0.007200000000000,0.477000000000000,223.420542635658876,495.490310077519382
756,4242,0.109441021389410,0.000000000000000,0.109441034563493,99.999996094103196,20040613.000000000000000,0.013500000000000,0.028800000000000,0.029700000000000,0.035100000000000,0.107100000000000,502.119658119658027,892.222222222222172
757,4244,0.190928707022458,0.000000000000000,0.012797671219418,6.702853429023928,20080617.000000000000000,0.014400000000000,0.002700000000000,0.000000000000000,0.000000000000000,0.017100000000000,190.000000000000000,346.647058823529335
