"","uRCA","Dams_Per_Basin","Burned_n","Pond_Area_m2_mean","Main_n","Side_n","Off_n","Burned_numerical","Time_Since_Burn_min","Z_mean"
"239",4151,3,3,3742.02,3,3,3,0,NA,171.653
"240",4157,2,2,1261.98,2,2,2,0,NA,341.136
"241",4170,2,2,975.431,2,2,2,1,15,305.348
"242",4221,1,1,80.268,1,1,1,0,NA,674.478
"243",4225,1,1,1316.062,1,1,1,1,59,381.455
"244",4229,1,1,28285.012,1,1,1,0,NA,181.881
"245",4240,3,3,1016.078,3,3,3,0,NA,190.777
"246",4241,2,2,472.135,2,2,2,1,13,273.03
"247",4243,1,1,5630.842,1,1,1,1,59,397.74
"248",4270,1,1,266.381,1,1,1,1,59,404.568
"249",4288,2,2,2310.282,2,2,2,1,67,308.87
"250",4296,1,1,400.696,1,1,1,0,NA,694.894
"251",4304,3,3,2904.769,3,3,3,1,13,314.644
"252",4325,3,3,4274.026,3,3,3,1,59,412.322
"253",4339,1,1,3369.369,1,1,1,0,NA,449.799
"254",4344,5,5,6632.601,5,5,5,0,NA,193.857
"255",4346,1,1,687.484,1,1,1,0,NA,403.409
"256",4355,4,4,739.116,4,4,4,0,NA,260.946
"257",4356,10,10,417.662,10,10,10,1,46,277.2
"258",4369,1,1,703.458,1,1,1,1,59,412.995
"259",4370,2,2,5086.954,2,2,2,1,59,412.944
"260",4378,2,2,77.365,2,2,2,1,13,283.988
"261",4381,3,3,261.665,3,3,3,0,NA,779.369
"262",4389,13,13,3740.97,13,13,13,1,59,433.78
"263",4390,2,2,2153.232,2,2,2,1,59,428.003
"264",4392,1,1,1497.143,1,1,1,0,NA,242.35
"265",4403,3,3,482.687,3,3,3,1,59,427.964
"266",4404,3,3,3723.242,3,3,3,1,59,432.791
"267",4425,5,5,1498.247,5,5,5,1,13,303.145
"268",4426,3,3,584.961,3,3,3,1,13,295.165
"269",4427,3,3,1299.907,3,3,3,1,59,436.819
"270",4428,2,2,851.446,2,2,2,1,59,432.971
"271",4435,1,1,936.252,1,1,1,0,NA,205.664
"272",4436,3,3,3587.375,3,3,3,0,NA,201.738
"273",4437,2,2,3100.106,2,2,2,0,NA,200.212
"274",4438,5,5,324.233,5,5,5,0,NA,210.32
"275",4443,3,3,383.464,3,3,3,0,NA,288.733
"276",4456,1,1,414.784,1,1,1,0,NA,268.976
"277",4467,4,4,2039.879,4,4,4,1,13,224.849
"278",4468,7,7,334.482,7,7,7,1,13,283.451
"279",4483,2,2,19.172,2,2,2,0,NA,330.579
"280",4488,1,1,673.167,1,1,1,1,13,379.033
"281",4492,2,2,1152.713,2,2,2,0,NA,214.486
"282",4493,1,1,371.664,1,1,1,0,NA,262.71
"283",4496,1,1,872.188,1,1,1,1,59,458.728
"284",4508,1,1,983.479,1,1,1,1,13,446.082
"285",4521,3,3,4362.161,3,3,3,1,15,341.048
"286",4532,14,14,253.639,14,14,14,0,NA,231.16
"287",4554,2,2,677.18,2,2,2,1,13,351.145
"288",4560,2,2,1370.4,2,2,2,1,13,385.435
"289",4564,3,3,852.014,3,3,3,1,59,518.027
"290",4569,2,2,1314.857,2,2,2,1,13,487.984
"291",4570,2,2,266.074,2,2,2,1,13,491.207
"292",4576,1,1,4311.12,1,1,1,1,59,485.681
"293",4605,2,2,2744.755,2,2,2,1,59,538.002
"294",4611,1,1,167.495,1,1,1,0,NA,1122.494
